Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,LEVINDALE HEBREW GERIATRIC CTR & HOSPITAL INC,"LEVINDALE HEBREW GERIATRIC CTR. & HOSPITAL, INC.",21215-5202,2012,57693.39,FOOD SERVICE - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,RICHARD GROVE,RICHARD GROVE,21783,2016,168988.53,"OTHER GRANTS, SUBS & CONTRIBUTION",GRANT,1,06/30/2016 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Pro Bono Counseling Project, Inc.","PRO BONO COUNSELING PROJECT, INC.",21204,2018,35447.89,SURVIVORS OF HOMICIDE GRANT,GRANT,1,06/30/2018 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Frederick Memorial Healthcare System,FREDERICK MEMORIAL HEALTHCARE SYSTEM,21701,2015,74924,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,ANDREWS AIR FORCE BASE CHILD & YOUTH PGRM,ANDREWS AIR FORCE BASE CHILD & YOUTH PGRM,20762,2012,90335.69,FOOD SERVICE - CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RESOURCE ASSESSMENT SERVICE,Chesapeake Bay Trust,CHESAPEAKE BAY TRUST,21401,2014,250000,PROVIDE GRANTS TO QUALIFIED ORGANIZATIONS FOR THE CREATION OR EXPANSION OF CERTAIN PROGRAMS TO EDUCATE AND TRAIN YOUTH AND YOUNG ADULTS TO PROMOTE ENERGY CONSERVATION.,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF AGRICULTURE/COVER CROP,HIGH HOPES FARM PARTNERSHIP,HIGH HOPES FARM PARTNERSHIP,21620-4625,2014,101600.5,COVER CROP PROGRAM GRANT,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF JUVENILE AND FAMILY SERVICES,Maryland CASA Association,MARYLAND CASA ASSOCIATION INC.,21204,2018,124826,ADVOCACY FOR CHILDREN IN FOSTER CARE.,GRANT,1,06/30/2018 12:00:00 AM
BOARDS AND COMMISSIONS/DOMESTIC AND SEXUAL VIOLENCE SERVICES,"HopeWorks of Howard County, Inc.","HOPEWORKS OF HOWARD COUNTY, INC.",21045,2014,98076.11,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2014 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Kennedy Krieger Institute,KENNEDY KRIEGER INSTITUTE,21213,2017,281096,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/OFFICE OF GRANTS MANAGEMENT,Mid-Shore Council on Family Violence,MID-SHORE COUNCIL ON FAMILY VIOLENCE,21629,2011,270095.27,FUNDS ARE USED TO PROVIDE SERVICES TO VICTIMS OF CRIME AND DOMESTIC VIOLENCE.,GRANT,1,06/30/2011 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Court Appointed Special Advocate (CASA) - Prince George's County, Inc.","COURT APPOINTED SPECIAL ADVOCATE (CASA) - PRINCE GEORGE'S COUNTY, INC.",20737,2017,13247,CHILDREN'S JUSTICE ACT COMMITTEE,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF THE ENVIRONMENT/WQFA - CLEAN WATER STATE REVOLVING FUNDS,Chesapeake Bay Trust,CHESAPEAKE BAY TRUST,21401,2013,270030,CLEAN WATER STATE REVOLVING FUNDS (CWSRF) GRANT,GRANT,1,06/30/2013 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,YWCA of Annapolis and Anne Arundel County,"YWCA OF ANNAPOLIS & ANNE ARUNDEL COUNTY, INC.",21012,2017,4018,REIMBURSABLE FUNDS FROM DHMH FOR SARC - RAPE CRISIS INTERVENTION,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MARYLAND AGRICULTURAL LAND PRESERVATION FOUNDATION,"Arthur Leitch, Jr. & Roswitha Leitch","ARTHUR LEITCH, JR. & ROSWITHA LEITCH",20608,2009,508637.25,PURCHASE DEVELOPMENT RIGHTS EASEMENT ON FARM,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/BALTIMORE REGIONAL NEIGHBORHOODS INITIATIVE,Southeast Development Inc.,"SOUTHEAST DEVELOPMENT, INC.",21231,2016,250000,BALTIMORE REGIONAL NEIGHBORHOODS INITIATIVE,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MD AGRICULTURAL FAIR BOARD GRANTS,MONTGOMERY COUNTY AGRICULTURAL CENTER,MONTGOMERY COUNTY AGRICULTURAL CENTER,20877,2017,62000,GRANTS TO NON-GOV ENTITIES,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,LEASE BROTHERS,LEASE BROTHERS,217768737,2016,128486.42,"OTHER GRANTS, SUBS & CONTRIBUTION",GRANT,1,06/30/2016 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Maryland Network Against Domestic Violence,MARYLAND NETWORK AGAINST DOMESTIC VIOLENCE,20715-1712,2011,15023.58,ENHANCED DOMESTIC VIOLENCE FATALITY REVIEW TEAM,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND ENERGY ASSISTANCE PROGRAM (MEAP),COMMUNITY ASSISTANCE NETWORK,COMMUNITY ASSISTANCE NETWORK INC,21222,2018,252967,MARYLAND ENERGY ASSISTANCE PROGRAM (MEAP),GRANT,1,06/30/2018 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Walden Sierra, Inc.","WALDEN SIERRA, INC.",20622,2015,42990.09,SEXUAL ASSAULT RAPE CRISIS,GRANT,1,06/30/2015 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION",Kennedy Krieger Institute,KENNEDY KRIEGER INSTITUTE,21213,2016,229115.33,VICTIMS OF CRIME ACT,GRANT,1,06/30/2016 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,"The Women's Law Center of Maryland, Inc.","THE WOMEN'S LAW CENTER OF MARYLAND, INC.",21204,2014,177597,LEGAL SERVICES FOR VICTIMS OF DOMESTIC VIOLENCE,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/SOCIAL SERVICES ADMINISTRATION,"Alzheimer's Association, Inc.","ALZHEIMER'S ASSOCIATION, INC.",21093,2010,212128,FUNDS ARE FOR RESPITE CARE SERVICES WHICH PROVIDE A PERIOD OF REST TO FAMILIES WHO PROVIDE PRIMARY CARE TO FAMILY MEMBERS WITH DISABILITIES,GRANT,1,06/30/2010 12:00:00 AM
JUDICIARY/FORECLOSURE PREVENTION PRO BONO PROJECT,"Pro Bono Resource Center, Inc.",PRO BONO RESOURCE CENTER OF MARYLAND,21201,2010,170500,"FORECLOSURE PREVENTION PRO BONO SERVICES IE: BASIC LEGAL ADVICE, BASIC LEGAL REPRESENTATION, IN-HOUSE COUNSEL TO HOUSING COUNSELING AGENCIES",GRANT,1,06/30/2010 12:00:00 AM
MARYLAND TOURISM BOARD,Baltimore County,BALTIMORE COUNTY,21264,2018,235729,MARYLAND TOURISM BOARD GRANT,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/MEEHA - MULTIFAMILY,Day Village,DAY VILLAGE,21222-0000,2012,456467,BUILDING RETROFITS,GRANT,1,06/30/2012 12:00:00 AM
MD STATE ARTS COUNCIL,STRATHMORE HALL FOUNDATION,"STRATHMORE HALL FOUNDATION, INC.",20852-3385,2018,600759,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),GRANT,1,06/30/2018 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/CHP RESILIENCE GRANT PROGRAM,"Adventist Healthcare, Inc. DBA WAH","ADVENTIST HEALTHCARE, INC.",20904,2017,425000,ENERGY EFFICIENCY GRANTS FOR AUDITS/UPGRADES IN COMMERCIAL AND INDUSTRIAL SECTOR,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF COMMERCE/MD SMALL BUSINESS DEVELOPMENT FINANCING AUTHORITY,LEGACY BUILDERS & CONSTRUCTION SERVICES INC,LEGACY BUILDERS & CONSTRUCTION SERVICES INC,21201,2016,53554.12,MSBDFA CONTRACT FINANCE - LINE OF CREDIT,LOAN,1,06/30/2016 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/OTHER INSTITUTIONS,LIVING CLASSROOMS FOUNDATION,"LIVING CLASSROOMS FOUNDATION, INC.",21231,2013,204937,LIVING CLASSROOMS FOUND - STATE AIDED,GRANT,1,06/30/2013 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,Howard Co Local Children's Board,HOWARD CO LOCAL CHILDREN'S BOARD,21043,2009,95000,EARLY CHILDHOOD PROGRAMS,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/COMPLETE COLLEGE MARYLAND - ONE STEP AWAY,Washington Adventist University,WASHINGTON ADVENTIST UNIVERSITY,20912,2013,60000,PCA 07211 EDUCATIONAL GRANTS,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD STATE ARTS COUNCIL  -,BALTIMORE CLAYWORKS,"BALTIMORE CLAYWORKS, INC.",21209,2012,61662,GRANTS FOR ART ORGANIZATION,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/WEATHERIZATION - REGIONAL GREENHOUSE GASES INITIATIVE,Community Assistance Network,COMMUNITY ASSISTANCE NETWORK INC,21222,2011,37738.94,WEATHERIZATION ACTIVITIES/PRODUCTS,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,PROLOGUE INC,PROLOGUE INC,21208,2014,52236.01,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF THE ENVIRONMENT/BAY RESTORATION FUND - SEPTIC SYSTEMS,"Towers Concrete Products, Inc.","TOWERS CONCRETE PRODUCTS, INC.",21629,2012,307475.71,SEPTIC SYSTEM UPGRADE PROGRAM - VENDOR REIMBURSEMENT,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,DESTINATION DC,DESTINATION DC,20001,2016,250000,MARYLAND TOURISM BOARD-GENERAL GRANT,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF THE ENVIRONMENT/WETLANDS COMPENSATION FUND - TIDAL,Chesapeake Bay Trust,CHESAPEAKE BAY TRUST,21401,2009,270000,CREATION OF LIVING SHORE LINES,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/OTHER INSTITUTIONS,MARYLAND HISTORICAL SOCIETY,MARYLAND HISTORICAL SOCIETY,21201,2014,89613,STATE AIDED INSTITUTIONS,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/MARYLAND HEALTH CARE COMMISSION,Johns Hopkins Pediatrics at Home,JOHNS HOPKINS PEDIATRICS AT HOME,21211,2017,100000,A TELEHEALTH GRANT TO DEMONSTRATE THE IMPACT OF USING TELEHEALTH TECHNOLOGY TO INCREASE ACCESS TO HEALTH CARE AND IMPROVE POPULATION HEALTH IN RURAL COMMUNITIES OF THE EASTERN SHORE.,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/HEAD START,"HEAD START OF WASHINGTON CO, INC",HEADSTART OF WASHINGTON COUNTY INC,21740,2011,72248,HEAD START,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/FREEDOM FLEET VOUCHER PROGRAM,Bimbo Bakeries 168-192,BIMBO BAKERIES 168-192,21075,2016,193750,PROGRAM PROVIDES FINANCIAL ASSISTANCE FOR THE  PURCHASE OF NEW AND CONVERTED ALTERNATIVE FUELED  VEHICLES REGISTERED IN THE STATE OF MARYLAND,GRANT,1,06/30/2016 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/HEAD START,SOUTHERN MD TRI-CO COMMUNITY ACTION COM,"SOUTHERN MD TRI-COUNTY COMMUNITY ACTION COMMITTEE, INC. (CALVERT AND CHARLES) FY15",20637,2010,112122,HEAD START,GRANT,1,06/30/2010 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MARYLAND COMMUNITY HEALTH RESOURCES COMMISSION,"Health Partners, Inc., primary care","HEALTH PARTNERS, INC.",20602,2017,150000,EXPAND ACCESS TO HEALTH CARE IN UNDERSERVED COMMUNITIES,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE - OFFICE OF THE SECRETARY,New Vision House of Hope,NEW VISION HOUSE OF HOPE,21215,2015,67138,MINORITY OUTREACH & TECHNICAL ASSISTANCE,GRANT,1,06/30/2015 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/MEEHA - MULTIFAMILY,Glenview Gardens,GLENVIEW GARDENS,21061-5299,2011,500000,BUILDING RETROFITS,GRANT,1,06/30/2011 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/INNOVATIVE PROGRAMS,THE CHILDREN'S GUILD INC,THE CHILDREN'S GUILD INC,21234-7260,2012,228785,CHARTER SCHOOLS,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/CHILD WELFARE SERVICES,WAY STATION INC,"WAY STATION, INC.",21705,2013,418529.12,"FUNDS ARE USED TO PROVIDE COMPASSIONATE AND QUALITY BEHAVIORAL HEALTH CARE, HOUSING AND EMPLOYMENT SERVICES TO ADULTS WITH MENTAL ILLNESS, DEVELOPMENTAL DISABILITIES, AND SUBSTANCE ADDICTIONS; CHILDREN AND ADOLESCENTS WITH EMOTIONAL AND BEHAVIORAL CHALLENGES; AND VETERANS WITH SERVICE NEEDS.",GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF PLANNING/HISTORIC PRESERVATION GRANT PROGRAM,"Kennard Alumni Association, Inc.","KENNARD ALUMNI ASSOCIATION, INC.",21617,2016,228557,"FY 2012, FY 2013 & FY 2014 AFRICAN AMERICAN HERITAGE PRESERVATION PROGRAM - FY 2012 PROJECT WORK INCLUDES RESTORATION OF THE INTERIORS, INCLUDING INTERIOR DOORS AND PARTITIONS AT KENNARD HIGH SCHOOL.  FY 2013 PROJECT INCLUDES RENOVATION WORK TO INSTALL AND PAINT DRYWALL CEILING AND INSTALL AND FINISH DRYWALL ON INTERIOR WALLS.  FY 2014 PROJECT WORK INCLUDES INTERIOR REHABILITATION, REPAIRS TO WOODWORK, FLOORING, HVAC, PLUMBING, AND ELECTRICAL SYSTEMS.",GRANT,1,06/30/2016 12:00:00 AM
GUARDIANSHIP,Washington County Commission on Aging,WASHINGTON COUNTY COMMISSION ON AGING,21740,2018,12585,PUBLIC GUARDIANSHIP,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/OTHER INSTITUTIONS,MARYLAND HISTORICAL SOCIETY,MARYLAND HISTORICAL SOCIETY,21201,2013,80510,OTHER STATE AIDED INSTITUTIONS,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/LMI COMMUNITY GRANTS,Rebuilding Together Montgomery County,REBUILDING TOGETHER MONTGOMERY COUNTY,20895-2039,2014,150000,ENERGY EFFICIENCY GRANTS FOR EFFICIENCY UPGRADES IN THE LOW AND MODERATE INCOME SECTOR.,GRANT,1,06/30/2014 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Maryland Network Against Domestic Violence,MARYLAND NETWORK AGAINST DOMESTIC VIOLENCE,20715,2009,76475.18,DOMESTIC VIOLENCE FATALITY REVIEW TEAM PROJECT,GRANT,1,06/30/2009 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Community Conferencing Center,COMMUNITY CONFERENCING CENTER,21211,2015,74121.36,JUVENILE ACCOUNTABILITY BLOCK GRANTS PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
MEDIATION & CONFLICT RESOLUTION OFFICE,Conflict Resolution Center of Baltimore County,CONFLICT RESOLUTION CENTER OF BALTIMORE COUNTY,21221,2018,129165,COMMUNITY MEDIATION AND COMMUNITY CONFERENCING SERVICES,GRANT,1,06/30/2018 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Domestic Violence Center of Howard County, Inc.","DOMESTIC VIOLENCE CENTER OF HOWARD COUNTY, INC.",21045-3296,2011,5719.11,TECHNOLOGY UPGRADE,GRANT,1,06/30/2011 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,Court Appointed Special Advocate (CASA) of Talbot County (& Dorchester),COURT APPOINTED SPECIAL ADVOCATE (CASA) OF TALBOT COUNTY (& DORCHESTER),21601,2011,80171.24,ADVOCACY FOR CHILDREN IN FOSTER CARE,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF HOUSING & COMMUNITY DEVELOPMENT/NEIGHBORHOOD BUSINESS DEVELOPMENT,"Reid Park, LLC","REID PARK, LLC",21218,2010,351558,SMALL BUSINESS DEVELOPMENT LOAN,LOAN,1,06/30/2010 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/ALTERNATIVE FUEL INFRASTRUCTURE PROGRAM,EVI,EVI,21201,2017,958180,INSTALL ALTERNATIVE FUEL REFILLING/CHARGING STATION,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/C&I DEEP ENERGY RETROFIT PROGRAM,Rutherford Business Trust,RUTHERFORD BUSINESS TRUST,21244,2017,262346,IMPLEMENT ENERGY CONSERVATION MEASURES,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/TRANSITIONAL EDUCATION FUNDING PROGRAM,THE YOUNG SCHOOL,THE YOUNG SCHOOL,21046,2012,99000,HOYER PROGRAM DEVELOPMENT,GRANT,1,06/30/2012 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"CASA Citizens Assisting and Sheltering the Abused, Inc.","CITIZENS ASSISTING AND SHELTERING THE ABUSED, INC. (CASA)",21740,2017,212279,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/MARYLAND HEALTH CARE COMMISSION,Union Hospital Cecil County,UNION HOSPITAL CECIL COUNTY,21921,2016,30000,A TELEHEALTH GRANT TO DEMONSTRATE THE IMPACT OF USING TELEHEALTH TECHNOLOGY TO IMPROVE THE OVERALL HEALTH OF THE POPULATION BEING SERVED AND THE PATIENT EXPERIENCE.,GRANT,1,06/30/2016 12:00:00 AM
COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND,FRITO-LAY INC,FRITO-LAY INC,75024,2017,200000,MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND LOAN,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/JANE E. LAWTON CONSERVATION LOAN PROGRAM,"C-CARE, LLC","C-CARE, LLC",21090,2016,650000,LAWTON LOAN FOR ENERGY EFFICIENCY,LOAN,1,06/30/2016 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/MARYLAND HIGHWAY SAFETY OFFICE,MARYLAND CHIEFS OF POLICE ASSOCIATION INC,MARYLAND CHIEFS OF POLICE ASSOCIATION INC,21046-2251,2013,140721,STATE AND COMMUNITY HIGHWAY SAFETY,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND HIGHER EDUCATION COMMISSION/AID TO NON PUBLIC INSTITUTIONS,Loyola University of Maryland,LOYOLA UNIVERSITY OF MARYLAND,21210,2011,4463850,SELLINGER FORMULA,GRANT,1,06/30/2011 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Life Crisis Center, Inc.","LIFE CRISIS CENTER, INC.",21803-0387,2011,86000,DOMESTIC VIOLENCE VICTIM ASSISTANCE,GRANT,1,06/30/2011 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Family Crisis Resource Center, Inc.",FAMILY CRISIS RESOURCE CENTER,21502-2367,2011,15898.84,VICTIM OUTREACH,GRANT,1,06/30/2011 12:00:00 AM
COMBINED HEAT AND POWER (CHP) RESILIENCE GRANT PROGRAM,"Northwest Hospital Center, Inc.","NORTHWEST HOSPITAL CENTER, INC.",21133,2018,500000,GRANTS TO ENCOURAGE IMPLEMENTATION OF COMBINED HEAT & POWER TECHNOLOGIES IN ELIGIBLE INDUSTRIAL FACILITIES,GRANT,1,06/30/2018 12:00:00 AM
PREVENTION AND HEALTH PROMOTION ADMINISTRATION,"Kennedy Krieger Institute for Education and Community Services, Inc.",KENNEDY KRIEGER INSTITUTE,21244,2018,52173,"MEDICAL GENETICS, SYSTEMS DEVELOPMENT, HEMATOLOGY",GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT - OFFICE OF INTERNATIONAL INVESTMENT AND TRADE,Maryland Israel Development Center,MARYLAND ISRAEL DEVELOPMENT CENTER,21202,2015,206250,GRANT IS TO ASSIST THE MIDC IN PROMOTING ECONOMIC ACTIVITY AND COOPERATION  BETWEEN MD AND ISRAEL.,GRANT,1,06/30/2015 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,"Heartly House, Inc.","HEARTLY HOUSE,  INC.",21701,2013,64855,LEGAL SERVICES FOR VICTIMS OF DOMESTIC VIOLENCE,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/DIV OF REHABILITATION SERVICES-HQ,SOUTHERN MD CTR FOR INDEPENDENT LIVING INC,SOUTHERN MD CTR FOR INDEPENDENT LIVING INC,20659,2011,180545,INDEPENDENT LIVING,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,Center for Watershed Protection,CENTER FOR WATERSHED PROTECTION,21043,2016,326394.9,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BEST MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT OPPORTUNITIES PROGRAM,Morgan Stanley & Co. Inc,MORGAN STANLEY & CO. INC,10036,2009,2500000,SUNNY DAY GRANT,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE - MARYLAND COMMUNITY HEALTH RESOURCES COMMISSION,MedStar Union Memorial Hospital,MEDSTAR UNION MEMORIAL HOSPITAL,21218,2015,150000,EXPAND ACCESS TO HEALTH CARE IN UNDERSERVED COMMUNITIES,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,BOWLES FARMS LLC,"BOWLES FARMS, LLC",20656,2017,51659.5,COVER CROP,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF PLANNING/HERITAGE AREAS AUTHORITY,"National Road Heritage Foundation, Inc.","NATIONAL ROAD HERITAGE FOUNDATION, INC.",21713,2016,56250,"FY 2015 & FY 2016 MARYLAND HERITAGE AREAS AUTHORITY - FY 2015 FUNDING TO COMPLETE THE PHASE 3 INTERIOR REHABILITATION OF A STRUCTURE FOR USE AS THE NATIONAL ROAD HERITAGE MUSEUM, WHICH WILL NARRATE  THE IMPORTANCE OF THE STORY OF THE NATIONAL ROAD TO BOONSBORO, WASHINGTON COUNTY AND THE CIVIL WAR IN MARYLAND. GRANT FUNDS WILL BE USED FOR EXPENSES RELATED TO HVAC, PLUMBING, ELECTRICAL, FLOORING, WALLS AND ALARM SYSTEM, AS WELL AS PUNCH LIST ITEMS AND CLEAN-UP WORK.  FY 2016 FUNDING TO SUPPORT INTERPRETIVE PLANNING AND DESIGN FOR THE NATIONAL ROAD MUSEUM.  THIS PORTION OF THE PROJECT WILL INCLUDE RESEARCH, WRITING, ART AND MAP SPECIFICATIONS, AND CATALOGING OF ARTIFACTS AND DISPLAY OBJECTS",GRANT,1,06/30/2016 12:00:00 AM
MILITARY DEPARTMENT/MARYLAND EMERGENCY MANAGEMENT AGENCY,JOHNS HOPKINS BAYVIEW HOSPITAL Total,JOHNS HOPKINS BAYVIEW HOSPITAL TOTAL,21224,2011,153366.49,DISASTER ASSISTANCE,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND ENTERPRISE INVESTMENT FUND,NEW ATLANTIC VENTURE FUND IV LP,"NEW ATLANTIC VENTURE FUND IV, L.P.",20190,2013,534308,VENTURE EQUITY INVESTMENTS - INVESTMD,L,1,06/30/2013 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/RENTAL HOUSE,Wyman House LLC,WYMAN HOUSE LLC,21201,2017,416371,RENTAL HOUSING,GRANT,1,06/30/2017 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Family Crisis Center of Baltimore County, Inc.","FAMILY CRISIS CENTER OF BALTIMORE COUNTY, INC.",21222,2017,126821,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/LMI COMMUNITY GRANTS,Baltimore City Department of Public Works FY17,BALTIMORE CITY DEPARTMENT OF PUBLIC WORKS FY17,21202,2017,382393,ENERGY EFFICIENCY MEASURES FOR THE LOW AND MODERATE INCOME SECTOR,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/CLEAN CITIES/HYBRID TRUCK,UPS,UPS,30328-3474,2010,1115519,PURCHASE 20 HYDRAULIC HYBRID FREIGHTLINER CUSTOM CHASSIS CORPORATION P100H-MT55 TRUCKS,GRANT,1,06/30/2010 12:00:00 AM
